School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,746,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,668,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,495,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,477,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,132,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,112,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,31024,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,32222,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7738,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,7748,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3419,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3340,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,37958,,,Chronically Absent Students,White,Female,,,,
2022-2023,ALABAMA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,38679,,,Chronically Absent Students,White,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8476,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,8960,,,Chronically Absent Students,American Indian or Alaska Native,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1023,,,Chronically Absent Students,Asian,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1121,,,Chronically Absent Students,Asian,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1387,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,1419,,,Chronically Absent Students,Native Hawaiian or Other Pacific Islander,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,517,,,Chronically Absent Students,Black or African American,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,603,,,Chronically Absent Students,Black or African American,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2020,,,Chronically Absent Students,Hispanic/Latino,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,2101,,,Chronically Absent Students,Hispanic/Latino,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3836,,,Chronically Absent Students,Two or more races,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,3989,,,Chronically Absent Students,Two or more races,Male,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,9170,,,Chronically Absent Students,White,Female,,,,
2022-2023,ALASKA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,9640,,,Chronically Absent Students,White,Male,,,,
2022-2023,ARIZONA,,,,,814,Chronic absenteeism--Students absent 10% or more school days,14898,,,Chronically Absent Students,American Indian or Alaska Native,Female,,,,
